Country,COUNTY_NAM,OBJECTID,REGISTERED VOTERS,UHURU KENYATTA,RAILA ODINGA,Others,TOTAL VALID VOTES,REJECTED BALLOTS,Winner
Kenya,MOMBASA,2,"580,644","99,190","238,809","4,338","342,337","2,838",RAILA ODINGA
Kenya,KWALE,3,"281,102","43,694","138,565","2,945","185,204","1,316",RAILA ODINGA
Kenya,KILIFI,4,"508,425","49,575","274,179","4,077","327,831","2,181",RAILA ODINGA
Kenya,TANA RIVER,5,"118,338","40,115","45,067","1,738","86,920",711,RAILA ODINGA
Kenya,LAMU,6,"69,793","23,905","24,421",888,"49,214",894,RAILA ODINGA
Kenya,TAITA TAVETA,7,"155,794","31,127","79,990","1,566","112,683",736,RAILA ODINGA
Kenya,GARISSA,8,"163,350","54,783","54,356","4,097","113,236",883,UHURU KENYATTA
Kenya,WAJIR,9,"162,912","60,508","52,362","5,818","118,688",656,UHURU KENYATTA
Kenya,MANDERA,10,"175,650","112,456","17,984","5,241","135,681",198,UHURU KENYATTA
Kenya,MARSABIT,11,"141,730","92,696","16,003","2,140","110,839",299,UHURU KENYATTA
Kenya,ISIOLO,12,"75,355","26,746","18,931","8,435","54,112",258,UHURU KENYATTA
Kenya,MERU,13,"702,776","482,580","55,602","5,145","543,327","4,661",UHURU KENYATTA
Kenya,THARAKA - NITHI,14,"213,157","162,529","10,355","1,592","174,476","1,083",UHURU KENYATTA
Kenya,EMBU,15,"309,731","231,350","17,549","2,283","251,182","1,835",UHURU KENYATTA
Kenya,KITUI,16,"474,563","64,652","287,293","7,615","359,560","2,793",RAILA ODINGA
Kenya,MACHAKOS,17,"620,363","82,629","380,018","7,018","469,665","3,294",RAILA ODINGA
Kenya,MAKUENI,34,"423,434","27,388","301,126","3,947","332,461","1,398",RAILA ODINGA
Kenya,NYANDARUA,18,"335,696","286,593","2,286",635,"289,514","1,057",UHURU KENYATTA
Kenya,NYERI,19,"457,197","389,410","4,735","1,791","395,936","1,014",UHURU KENYATTA
Kenya,KIRINYAGA,20,"349,970","297,652","3,120","1,084","301,856","3,139",UHURU KENYATTA
Kenya,MURANG'A,21,"587,222","498,248","9,122","1,636","509,006","1,182",UHURU KENYATTA
Kenya,KIAMBU,22,"1,181,076","912,588","69,190","3,374","985,152","3,828",UHURU KENYATTA
Kenya,TURKANA,23,"191,435",58744,71063,"1,561",131368,780,RAILA ODINGA
Kenya,WEST POKOT,24,"180,241","97,620","52,120","1,346","151,086",448,UHURU KENYATTA
Kenya,SAMBURU,25,"82,794","31,746","31,615",591,"63,952",70,UHURU KENYATTA
Kenya,TRANS NZOIA,47,"339,715","110,489","134,312","2,925","247,726","1,988",RAILA ODINGA
Kenya,UASIN GISHU,26,"450,159","265,704","72,378","3,493","341,575","1,549",UHURU KENYATTA
Kenya,ELEGEYO-MARAKWET,27,"180,679","138,634","7,102",771,"146,507",477,UHURU KENYATTA
Kenya,NANDI,28,"346,102","235,243","33,848","1,804","270,895","1,299",UHURU KENYATTA
Kenya,BARINGO,29,"232,311","161,423","27,748","1,240","190,411",768,UHURU KENYATTA
Kenya,LAIKIPIA,30,"246,693","177,772","20,694","1,036","199,502",830,UHURU KENYATTA
Kenya,NAKURU,31,"949,971","639,297","110,857","4,251","754,405","4,687",UHURU KENYATTA
Kenya,NAROK,32,"341,761","149,376","129,360","3,225","281,961",641,UHURU KENYATTA
Kenya,KAJIADO,33,"411,267","186,481","138,405","1,389","326,275","1,960",UHURU KENYATTA
Kenya,KERICHO,35,"375,691","272,974","19,448","1,793","294,215","1,234",UHURU KENYATTA
Kenya,BOMET,44,"322,024","229,599","31,822","2,356","263,777","1,368",UHURU KENYATTA
Kenya,KAKAMEGA,36,"743,929","63,399","483,157","6,821","553,377","4,152",RAILA ODINGA
Kenya,VIHIGA,37,"272,415","18,275","179,140","2,977","200,392","1,566",RAILA ODINGA
Kenya,BUNGOMA,38,"559,866","126,475","284,786","7,351","418,612","3,603",RAILA ODINGA
Kenya,BUSIA,39,"351,087","34,239","239,296","2,101","275,636","2,272",RAILA ODINGA
Kenya,SIAYA,40,"457,957","2,494","375,712",874,"379,080","1,105",RAILA ODINGA
Kenya,KISUMU,46,"539,593","7,411","369,963","1,529",439419,"1,127",RAILA ODINGA
Kenya,HOMA BAY,41,"476,932","1,960","400,351",687,"402,998","1,017",RAILA ODINGA
Kenya,MIGORI,42,"388,700","46,112","274,161","1,988","322,261","1,148",RAILA ODINGA
Kenya,KISII,43,"546,682","174,213","223,155","6,297","403,665","3,036",RAILA ODINGA
Kenya,NYAMIRA,45,"278,853","106,508","95,227","3,098","204,833","1,422",UHURU KENYATTA
Kenya,NAIROBI,1,"2,251,929","791,291","828,826","9,777","1,629,894","6,884",RAILA ODINGA
